timestamp,open,high,low,close,coin,market_cap_usd,total_volume_usd,market_cap_rank,sentiment_votes_up_pct,price_change_pct_7d,price_change_pct_30d,ath_change_pct,circulating_supply,total_supply,fear_greed_index,collected_at
2025-06-17,2650.1,2672.77,2468.26,2561.33,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-06-21,2548.1,2613.23,2389.71,2405.7,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-06-25,2406.19,2473.84,2134.88,2446.54,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-06-29,2447.33,2510.28,2391.69,2437.13,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-07-03,2436.76,2606.08,2393.31,2574.07,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-07-07,2572.33,2630.57,2478.63,2571.36,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-07-11,2570.82,2979.89,2521.06,2948.45,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-07-15,2948.78,3074.13,2908.75,3012.18,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-07-19,3013.07,3669.85,2942.21,3547.32,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-07-23,3548.42,3848.92,3523.94,3746.94,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
